seed,experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
44,fasttext__mean_max__ridge_classifier,fasttext,fasttext mean_max,mean_max,ridge_classifier,ok,1.9473054359841624,0.0290844819974154,0.4965079365079365,0.4816181767868203,0.7515873015873016,0.8121031746031746,0.6717696603828149,feature_seconds=102.00; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
43,fasttext__average__linear_svm,fasttext,fasttext average,average,linear_svm,ok,131.3598643130099,0.063749299995834,0.494047619047619,0.4778873326456363,0.7528571428571429,0.8117857142857143,0.6738202045576889,feature_seconds=99.33; vocab_cov=0.8216; token_cov=0.9847; loaded_vectors=96478
42,fasttext__average__linear_svm,fasttext,fasttext average,average,linear_svm,ok,127.70003270800224,0.1231197319866623,0.4939682539682539,0.4772328948046036,0.7536904761904762,0.811577380952381,0.6751580962262632,feature_seconds=98.75; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
43,fasttext__mean_max__ridge_classifier,fasttext,fasttext mean_max,mean_max,ridge_classifier,ok,2.0431953180232085,0.0326570360048208,0.4957936507936508,0.4806003210506627,0.755,0.81125,0.6697621580684133,feature_seconds=99.16; vocab_cov=0.8216; token_cov=0.9847; loaded_vectors=96478
42,fasttext__mean_max__ridge_classifier,fasttext,fasttext mean_max,mean_max,ridge_classifier,ok,2.0249433340213727,0.0300674609898123,0.4959126984126984,0.4809760137470412,0.7558333333333334,0.8110416666666667,0.6678458303628636,feature_seconds=97.94; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
44,fasttext__average__linear_svm,fasttext,fasttext average,average,linear_svm,ok,124.52624571401977,0.05866988300113,0.4907142857142857,0.474785185008381,0.7621428571428571,0.8094642857142857,0.66843201321317,feature_seconds=97.72; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
42,fasttext__average__ridge_classifier,fasttext,fasttext average,average,ridge_classifier,ok,1.0055296850041486,0.0160102490044664,0.4882142857142857,0.4708861546722304,0.7666666666666667,0.8083333333333333,0.6668751451904005,feature_seconds=98.75; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
43,fasttext__average__ridge_classifier,fasttext,fasttext average,average,ridge_classifier,ok,0.9220296860148663,0.0193706399877555,0.4887301587301587,0.4717688710881072,0.7674603174603175,0.8081349206349207,0.6651026182886207,feature_seconds=99.33; vocab_cov=0.8216; token_cov=0.9847; loaded_vectors=96478
42,fasttext__mean_max__logreg,fasttext,fasttext mean_max,mean_max,logreg,ok,54.47618700301973,0.1000889359856955,0.4773809523809524,0.4712947960171291,0.7746825396825396,0.806329365079365,0.6491091883295151,feature_seconds=97.94; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
43,fasttext__mean_max__logreg,fasttext,fasttext mean_max,mean_max,logreg,ok,54.98890936901444,0.0966180079849436,0.4745238095238095,0.4688240114073151,0.7761507936507936,0.8059623015873016,0.6484921546478847,feature_seconds=99.16; vocab_cov=0.8216; token_cov=0.9847; loaded_vectors=96478
